Date,Open,High,Low,Close,Volume
1/20/1998,50.08,50.74,49.82,50.66,2622978
1/21/1998,50.22,50.4,49.7,50.04,2852674
1/22/1998,49.58,50,49.42,49.62,2565214
1/23/1998,49.82,49.98,49.06,49.5,2550385
1/26/1998,49.84,50.02,49.56,49.7,1803592
1/27/1998,49.56,50.48,49.52,50.28,2259281
1/28/1998,50.38,50.93,50.28,50.87,1752378
1/29/1998,50.59,51.35,50.47,51.05,2295140
1/30/1998,51.46,51.46,50.84,50.94,1614939
2/2/1998,51.8,52.24,51.66,52.08,1482701
2/3/1998,52.11,52.53,51.89,52.49,962774
2/4/1998,52.21,52.49,51.95,52.21,1170748
2/5/1998,52.64,52.7,51.94,52.22,1659125
2/6/1998,52.54,52.97,52.44,52.78,1640632
2/9/1998,52.77,52.87,52.35,52.57,797093
2/10/1998,52.83,53.68,52.75,53.46,1352523
2/11/1998,53.38,53.64,53.3,53.46,800514
2/12/1998,53.1,53.98,52.88,53.8,1600765
2/13/1998,53.55,53.87,53.43,53.77,928120
2/17/1998,54.2,54.46,53.92,54.04,1306395
2/18/1998,54,54.4,53.86,54.4,1188715
2/19/1998,54.39,54.43,53.89,53.89,1234907
2/20/1998,53.98,54.24,53.5,54.18,837226
2/23/1998,54.6,54.6,53.94,54.16,967353
2/24/1998,54.16,54.34,53.78,54,1091490
2/25/1998,54.12,54.7,54,54.44,1070094
2/26/1998,54.42,54.82,54.3,54.74,682995
2/27/1998,54.66,55.2,54.52,55.02,690874
3/2/1998,55.16,55.22,54.86,55.1,1644274
3/3/1998,54.85,55.38,54.83,55.36,925326
3/4/1998,55.04,55.2,54.7,54.98,1073680
3/5/1998,54.48,54.96,54.3,54.5,1203084
3/6/1998,54.78,55.39,54.78,55.31,672739
3/9/1998,55.06,55.67,55.04,55.2,1065372
3/10/1998,55.55,55.79,55.41,55.75,870373
3/11/1998,55.85,56.03,55.71,55.93,620492
3/12/1998,55.9,55.98,55.5,55.86,896180
3/13/1998,56.05,56.09,55.35,55.39,712314
3/16/1998,55.77,56.25,55.63,56.23,1122253
3/17/1998,56.16,56.46,56.02,56.42,775382
3/18/1998,56.3,56.58,56.14,56.56,634651
3/19/1998,56.58,56.76,56.48,56.72,979857
3/20/1998,56.87,57.41,56.69,57.31,1174603
3/23/1998,57.32,57.32,56.8,56.88,858230
