Date,div
3/19/2018,0.28
12/18/2017,0.33
9/18/2017,0.32
6/16/2017,0.38
3/17/2017,0.27
12/16/2016,0.36
9/16/2016,0.29
6/17/2016,0.29
3/18/2016,0.32
12/18/2015,0.34
9/18/2015,0.26
6/19/2015,0.25
3/20/2015,0.25
12/19/2014,0.39
9/19/2014,0.24
6/20/2014,0.25
3/21/2014,0.21
2/27/2014,0.37
12/20/2013,0.27
9/20/2013,0.24
6/21/2013,0.22
3/15/2013,0.16
12/21/2012,0.37
9/21/2012,0.20
6/15/2012,0.14
3/16/2012,0.11
12/27/2011,0.05
12/16/2011,0.16
9/16/2011,0.10
6/17/2011,0.12
3/18/2011,0.08
12/17/2010,0.11
9/17/2010,0.11
6/25/2010,0.09
6/18/2010,0.09
3/19/2010,0.05
12/18/2009,0.08
9/18/2009,0.04
6/19/2009,0.04
3/20/2009,0.05
12/19/2008,0.04
9/19/2008,0.03
6/20/2008,0.03
3/20/2008,0.03
12/21/2007,0.05
9/21/2007,0.03
6/15/2007,0.04
3/16/2007,0.03
12/15/2006,0.05
9/15/2006,0.02
6/16/2006,0.03
3/17/2006,0.03
12/16/2005,0.10
6/17/2005,0.03
12/17/2004,0.38
12/24/2003,0.01
